TeamName,Abbrev
Carolina Hurricanes,CAR
Columbus Blue Jackets,COL
New Jersey Devils,NJD
New York Islanders,NYI
New York Rangers,NYR
Philadelphia Flyers,PHI
Pittsburgh Penguins,PIT
Washington Capitals,WSH
Boston Bruins,BOS
Buffalo Sabres,BUF
Detroit Red Wings,DET
Florida Panthers,FLA
Montreal Canadiens,MTL
Ottawa Senators,OTT
Tampa Bay Lightning,TBL
Toronto Maple Leafs,TOR
Arizona Coyotes,ARI
Chicago Blackhawks,CHI
Colorado Avalanche,COL
Dallas Stars,DAL
Minnesota Wild,MIN
Nashville Predators,NSH
St. Louis Blues,STL
Winnipeg Jets,WPG
Anaheim Ducks,ANA
Calgary Flames,CGY
Edmonton Oilers,EDM
Los Angeles Kings,LAK
San Jose Sharks,SJS
Seattle Kraken,SEA
Vancouver Canucks,VAN
Vegas Golden Knights,VEG